fighter,rating
Felicia Spencer,1020.59
Wang Guan,1020.57
Jesus Aguilar,1020.49
Ronnie Lawrence,1020.41
Cameron Smotherman,1020.26
Johnny Rhodes,1020.25
Abdul-Kerim Edilov,1020.16
Wilson Reis,1020.05
Yoshiki Takahashi,1020.0
Ben Earwood,1020.0
Mark Hughes,1020.0
Logan Clark,1020.0
Lyman Good,1020.0
ChangHo Lee,1020.0
Lone'er Kavanagh,1020.0
SuYoung You,1020.0
Aleksandre Topuria,1020.0
Marco Tulio,1019.98
Carlos Felipe,1019.95
Jonathan Pearce,1019.94
Brunno Ferreira,1019.94
Rei Tsuruya,1019.76
Ian Freeman,1019.74
Uros Medic,1019.69
Wanderlei Silva,1019.66
Alexander Hernandez,1019.58
Mike Kyle,1019.54
Montana De La Rosa,1019.39
Aisling Daly,1019.36
Alexis Davis,1019.31
MarQuel Mederos,1018.99
Puja Tomar,1018.85
Cody Haddon,1018.82
Tyrone Roberts,1018.78
Phil Rowe,1018.77
Navajo Stirling,1018.68
Jordan Leavitt,1018.63
Andre Roberts,1018.44
Adam Wieczorek,1018.34
Ron Waterman,1018.16
Rafael Natal,1017.94
Tyson Griffin,1017.93
Megan Anderson,1017.65
Paul Craig,1017.58
Elijah Smith,1017.58
Robert Peralta,1017.51
Sergey Morozov,1017.45
Soa Palelei,1017.37
Din Thomas,1017.35
Mizuki,1017.18
Da'Mon Blackshear,1017.15
Michael Chandler,1017.13
Rafa Garcia,1017.12
Josh Samman,1017.06
Marlon Moraes,1017.05
Piera Rodriguez,1016.86
Joanne Wood,1016.84
Augusto Sakai,1016.69
Tai Tuivasa,1016.62
Scott Holtzman,1016.61
Luis Saldana,1016.39
Cameron Saaiman,1016.38
Tyson Pedro,1016.36
Chidi Njokuani,1016.34
Josefine Knutsson,1016.3
Ovince Saint Preux,1016.18
Rogerio Nogueira,1015.98
Matt Frevola,1015.95
Kiichi Kunimoto,1015.88
Aleksei Kunchenko,1015.82
Michael Trizano,1015.77
Gavin Tucker,1015.58
Paddy Holohan,1015.36
Joselyne Edwards,1015.36
Gaston Bolanos,1015.29
Wang Cong,1015.2
Siyar Bahadurzada,1015.16
Takeya Mizugaki,1014.9
Terry Etim,1014.89
Joaquim Silva,1014.89
Ben Nguyen,1014.8
Josiane Nunes,1014.77
Mauricio Rua,1014.62
Royston Wee,1014.6
JeongYeong Lee,1014.27
Muin Gafurov,1014.22
Tim Elliott,1014.18
Rich Attonito,1014.14
Bea Malecki,1014.07
Billy Quarantillo,1013.98
Manny Bermudez,1013.41
Matt Wiman,1013.39
Elias Silverio,1013.34
Brad Riddell,1013.33
Paige VanZant,1013.14
Paul Kelly,1012.77
Roy Nelson,1012.63
Niko Price,1012.43
Gabriel Gonzaga,1012.35
Mohammed Usman,1012.12
Tatsuya Kawajiri,1011.93
Brad Blackburn,1011.76
Jake O'Brien,1011.67
Chris Daukaus,1011.36
Liz Carmouche,1011.1
Ronny Markes,1010.78
Cody Durden,1010.74
Mayra Bueno Silva,1010.14
Steven Siler,1009.84
Gabriel Santos,1009.74
Alex Garcia,1009.72
Ildemar Alcantara,1009.47
Cung Le,1009.43
Mike Perry,1009.32
Sedriques Dumas,1009.19
Keith Hackney,1009.17
Alessandro Costa,1008.78
Falaniko Vitale,1008.52
Andrei Arlovski,1008.43
Damon Jackson,1008.37
Diego Nunes,1008.22
Marcio Cruz,1008.17
Amir Sadollah,1008.02
Jack Jenkins,1008.01
Jimi Manuwa,1007.91
Nate Marquardt,1007.88
Dennis Hallman,1007.78
Gabriella Fernandes,1007.66
Gary Goodridge,1007.44
Fatima Kline,1007.36
Marc Diakiese,1007.31
Yazmin Jauregui,1007.21
Yana Santos,1006.94
Song Kenan,1006.91
Tresean Gore,1006.81
Gan McGee,1006.73
Modestas Bukauskas,1006.35
Rich Clementi,1006.1
Kendall Grove,1006.08
Antonio Carvalho,1006.06
Ramiz Brahimaj,1006.0
Alan Patrick,1005.68
Jutaro Nakao,1005.5
Ismael Bonfim,1005.35
Fernando Padilla,1005.25
Clint Hester,1005.11
Antoni Hardonk,1005.05
Stefan Struve,1004.95
Paul Buentello,1004.81
Melquizael Costa,1004.76
Jose Quinonez,1004.71
Dan Christison,1004.63
Jason Saggo,1004.49
Mike Wilkinson,1004.33
Chance Rencountre,1004.33
Brandon Vera,1004.32
Karolina Kowalkiewicz,1004.21
Trey Ogden,1004.2
TJ Waldburger,1004.08
Jimmy Crute,1003.93
Josh Thomson,1003.86
Tony Kelley,1003.78
Chris Cariaso,1003.6
Rony Jason,1003.58
Erik Koch,1003.5
Lavar Johnson,1003.5
Joe Charles,1003.47
Irina Alekseeva,1003.45
Xiao Long,1003.36
Jarjis Danho,1003.35
Chelsea Chandler,1003.26
Ketlen Souza,1003.22
Julia Polastri,1003.07
Dave Beneteau,1003.05
Ryan Janes,1002.97
Brian Melancon,1002.96
Geza Kalman,1002.94
Dwayne Cason,1002.74
Buddy Roberts,1002.7
Michal Oleksiejczuk,1002.7
Bill Algeo,1002.69
Adam Fugitt,1002.64
Felipe Bunes,1002.64
Amaury Bitetti,1002.57
Tomasz Drwal,1002.55
Guram Kutateladze,1002.47
Victor Hugo,1002.45
Dione Barbosa,1002.35
Sultan Aliev,1002.28
Kaue Fernandes,1002.27
Shinsho Anzai,1002.09
Zak Ottow,1002.07
Mike van Arsdale,1002.06
Ben Askren,1002.03
Troy Mandaloniz,1001.76
Molly McCann,1001.69
Brianna Fortino,1001.59
Nick Ring,1001.54
Tai Bowden,1001.52
Lance Gibson,1001.42
Billy Ray Goff,1001.38
Tanner Boser,1001.35
Joe Moreira,1001.32
Kevin Jousset,1001.28
Nick Sanzo,1001.24
John Lewis,1001.24
Ernesta Kareckaite,1001.15
Junie Browning,1001.07
Jesus Pinedo,1001.05
Cheyanne Vlismas,1001.05
Jose Torres,1001.04
Serhiy Sidey,1001.04
Lucas Almeida,1001.02
Dan Cramer,1001.01
Eddie Yagin,1000.93
Lance Benoist,1000.92
Jamey-Lyn Horth,1000.89
Nicco Montano,1000.85
Galore Bofando,1000.73
Semmy Schilt,1000.62
Joe Stevenson,1000.56
Guangyou Ning,1000.49
Wesley Correira,1000.42
Travis Fulton,1000.3
Ricardo Abreu,1000.29
Waylon Lowe,1000.24
Tedd Williams,1000.23
James Wilks,1000.23
Patrick Walsh,1000.17
Ramon Taveras,1000.12
Jack Nilson,1000.1
Brad Kohler,1000.1
Sai Wang,1000.07
Mitch Gagnon,1000.05
Antonina Shevchenko,1000.04
Orlando Wiet,1000.0
Todd Medina,1000.0
Steven Graham,1000.0
Alfonso Alcarez,1000.0
CJ Fernandes,1000.0
Mark Robinson,1000.0
Ron Faircloth,1000.0
Anthony Torres,1000.0
Roman Mitichyan,1000.0
Nate Loughran,1000.0
Mackens Semerzier,1000.0
Pedro Nobre,1000.0
Robert Drysdale,1000.0
DeAnna Bennett,1000.0
Joe Slick,999.98
Montserrat Rendon,999.96
Kyle Nelson,999.9
Nick Thompson,999.86
Kenny Robertson,999.86
Hunter Azure,999.84
Shauna Bannon,999.84
Kevin Jackson,999.83
Joe Duffy,999.82
Jonathan Meunier,999.82
Miguel Torres,999.76
Keith Rockel,999.75
Katsuhisa Fujii,999.71
Jason DeLucia,999.7
Chris Clements,999.7
Luke Barnatt,999.53
Levan Makashvili,999.51
Abubakar Nurmagomedov,999.43
Tony Gravely,999.38
Viviane Pereira,999.37
Dan Bobish,999.3
Evan Elder,999.29
Hector Sandoval,999.28
Ariane da Silva,999.24
Justin McCully,999.18
Loik Radzhabov,999.18
Sirwan Kakai,999.17
Diego Rivas,999.11
Sam Hughes,999.08
Chris Kelades,999.06
Albert Duraev,999.05
Daria Zhelezniakova,999.03
Nah-Shon Burrell,998.99
Mirko Filipovic,998.96
Mike Nickels,998.93
Erick Silva,998.93
Tony Fryklund,998.91
Talita Alencar,998.85
Andrei Semenov,998.8
Pascal Krauss,998.7
Ange Loosa,998.69
Mike Ciesnolevicz,998.67
Fredy Serrano,998.62
Scott Morris,998.58
Nick Denis,998.58
Scott Bessac,998.52
Melissa Martinez,998.52
Tereza Bleda,998.49
Roberto Traven,998.48
War Machine,998.48
Anying Wang,998.48
Benji Radach,998.44
Mounir Lazzez,998.42
Dustin Hazelett,998.25
Ian Heinisch,998.18
Armen Petrosyan,998.11
Paul Jones,998.02
Antonio Rodrigo Nogueira,998.01
John Gunther,998.0
Benardo Sopaj,997.96
Yancy Medeiros,997.94
Veronica Hardy,997.77
Danny Castillo,997.73
Naoki Inoue,997.72
